user,restaurant,rating
14639,5,3
14639,29,5
14643,29,4
14643,5,5
14772,26,5
14772,5,4
14710,5,4
14663,26,4
14744,29,5
14773,26,4
14773,5,4
14701,5,5
14654,5,4
14746,29,5
14658,29,5
14658,5,5
14658,22,4
14884,29,5
14698,6,4
14698,29,2
14781,32,5
14781,5,4
14771,29,5
14750,18,3
14750,24,4
14750,4,5
14750,29,3
14730,4,5
14730,5,4
14640,29,5
14640,5,4
14691,18,2
14691,5,5
14656,29,4
14807,29,5
14646,5,4
14644,5,5
14644,5,4
14783,32,2
14783,5,3
14661,29,5
14661,5,4
14661,22,3
14731,4,4
14731,5,5
14660,29,5
14660,5,4
14660,22,4
14645,5,4
14709,5,5
14802,29,5
14802,5,5
14665,26,4
14665,5,4
14665,29,4
14702,5,4
14745,29,4
14804,26,2
14804,5,4
14689,5,2
14689,15,5
14779,32,3
14779,5,3
14687,5,5
14687,5,5
14687,15,4
14782,32,2
14782,5,4
14782,32,2
14782,5,4
14780,32,2
14780,5,5
14684,5,4
14666,5,5
14666,26,4
14666,29,5
14657,29,4
14664,29,3
14664,5,4
14664,26,5
14662,29,5
14662,5,3
14662,26,4
14743,5,5
14743,5,4
14652,5,5
14642,29,5
14642,5,5
14659,5,4
14659,29,5
14659,22,3
14685,5,3
14692,18,2
14692,5,3
14697,6,4
14697,29,4
14747,24,3
14747,18,3
14747,4,4
14747,29,4
14655,29,5
14688,5,4
14688,15,5
14770,29,5
14641,5,4
14641,29,5
14683,5,3
14803,26,2
14803,5,5
14650,5,4
14648,5,4
14800,5,5
14800,29,4
14806,26,4
14806,5,5
14718,5,5
14718,4,5
14718,29,5
14718,29,4
14694,18,5
14694,5,5
14694,5,4
14673,18,2
14673,4,4
14668,32,4
14722,5,5
14722,4,3
14674,18,4
14674,4,5
14705,18,3
14705,17,4
14705,5,5
14667,32,2
14707,17,4
14707,5,5
14707,18,2
14672,4,4
14672,18,5
14708,17,5
14708,18,4
14708,5,4
14670,32,3
14741,18,2
14675,18,5
14675,4,3
14651,5,5
14760,10,3
14716,5,2
14716,29,5
14706,17,4
14706,18,1
14706,5,5
14693,18,2
14693,5,2
14713,18,5
14713,5,3
14713,22,4
14719,5,4
14719,29,4
14719,4,3
14932,28,3
14905,21,3
14905,5,5
14911,24,3
14911,26,3
14911,5,4
14902,29,4
14647,5,4
14714,5,4
14714,29,4
14738,18,5
14711,5,5
14711,18,5
14711,22,5
14906,21,1
14906,5,3
14749,24,3
14749,18,3
14749,4,5
14749,29,5
14909,24,4
14909,26,4
14909,5,5
14935,28,2
14720,5,3
14720,4,5
14720,29,5
14686,5,4
14686,15,5
14680,29,5
14680,5,3
14732,5,3
14732,4,3
14704,17,5
14704,18,4
14704,5,3
14801,29,5
14801,5,4
14671,32,4
14899,29,5
14758,10,2
14809,29,5
14712,18,4
14712,5,5
14712,22,3
14653,5,2
20734,26,4
20734,18,2
20735,18,5
20735,26,4
20739,32,1
20738,32,2
20788,18,3
20788,31,4
20789,18,4
20789,31,3
20797,32,4
20797,5,3
20798,32,5
20798,5,4
