user_id,for_user,time
14720,16014,2023-06-15 23:45:46
14720,14720,2023-06-16 11:03:46
14720,14720,2023-06-16 11:08:36
14720,16112,2023-06-16 11:09:28
14720,16453,2023-06-17 16:45:00
14720,16453,2023-06-17 16:45:02
14720,16453,2023-06-17 16:45:09
14720,14720,2023-06-18 15:49:00
14720,14720,2023-06-18 15:50:16
14720,14720,2023-06-18 15:54:51
14748,14748,2023-06-16 15:38:49
14671,14671,2023-06-18 11:29:55
14671,16497,2023-06-18 11:29:55
14660,16534,2023-06-18 20:45:51
14660,17620,2023-06-19 16:17:08
14906,16651,2023-06-19 11:00:13
14906,16651,2023-06-19 11:01:04
14906,16652,2023-06-19 11:04:45
14906,16653,2023-06-19 11:04:55
14758,19666,2023-06-20 18:23:23
14690,14690,2023-06-19 14:50:17
14784,14784,2023-06-19 15:12:44
14784,14784,2023-06-19 15:12:54
14661,17313,2023-06-19 14:19:37
14661,17518,2023-06-19 15:13:21
14806,17589,2023-06-19 15:47:54
14806,17589,2023-06-19 15:48:53
14806,17590,2023-06-19 15:49:27
14806,17590,2023-06-19 15:51:10
14806,17590,2023-06-19 15:52:18
14806,17589,2023-06-19 15:53:30
14806,17590,2023-06-19 15:54:44
14806,17590,2023-06-19 15:55:36
14806,17591,2023-06-19 15:59:44
14775,17724,2023-06-19 17:27:13
14775,14775,2023-06-19 17:35:17
14693,17128,2023-06-19 13:33:39
14693,17137,2023-06-19 13:36:32
14693,17128,2023-06-19 13:39:57
14693,17128,2023-06-19 13:40:18
14693,17137,2023-06-19 13:45:09
14693,17808,2023-06-19 18:42:21
14693,17835,2023-06-19 19:05:13
14734,14734,2023-06-19 19:24:47
14709,17971,2023-06-19 21:09:14
14709,17971,2023-06-19 21:09:25
14709,17971,2023-06-19 21:09:26
14709,17971,2023-06-19 21:09:28
14709,17971,2023-06-19 21:09:42
14709,17971,2023-06-19 21:09:43
14691,17992,2023-06-19 21:32:14
14728,18230,2023-06-19 23:39:16
14673,18266,2023-06-20 00:18:02
14673,18266,2023-06-20 00:18:06
14673,18266,2023-06-20 00:18:08
14788,16352,2023-06-16 14:56:26
14788,18147,2023-06-19 22:54:27
14653,18422,2023-06-20 03:29:05
14682,18418,2023-06-20 03:26:35
14682,18418,2023-06-20 03:26:38
14682,18418,2023-06-20 03:26:39
14682,18418,2023-06-20 03:26:40
14682,18418,2023-06-20 03:27:10
14682,18427,2023-06-20 03:31:07
14682,18427,2023-06-20 03:31:39
14682,18453,2023-06-20 03:54:46
14682,18463,2023-06-20 03:56:42
14744,17599,2023-06-19 15:55:47
14710,14710,2023-06-16 13:19:41
14710,16253,2023-06-16 13:22:18
14710,17561,2023-06-19 15:34:30
14710,17561,2023-06-19 15:35:22
14798,18497,2023-06-20 05:03:39
14721,18653,2023-06-20 09:29:58
14662,14662,2023-06-20 10:27:26
14662,18705,2023-06-20 10:28:16
14719,16641,2023-06-19 10:51:05
14719,14719,2023-06-19 11:02:06
14719,16655,2023-06-19 11:07:01
14719,14719,2023-06-19 11:53:25
14719,14719,2023-06-19 11:56:30
14719,14719,2023-06-19 11:57:28
14719,16747,2023-06-19 12:03:49
14719,16753,2023-06-19 12:08:25
14719,16747,2023-06-19 12:10:19
14719,16747,2023-06-19 12:11:26
14719,16742,2023-06-19 12:12:46
14719,16751,2023-06-19 12:15:18
14719,16751,2023-06-19 12:15:36
14719,14719,2023-06-19 12:18:03
14719,16848,2023-06-19 12:24:02
14719,16855,2023-06-19 12:25:11
14719,18261,2023-06-20 00:15:12
14719,18264,2023-06-20 00:18:02
14719,14719,2023-06-20 09:48:01
14713,18793,2023-06-20 11:29:33
14683,18832,2023-06-20 12:18:43
14672,18816,2023-06-20 11:49:30
14672,18816,2023-06-20 11:49:30
14672,18818,2023-06-20 11:52:54
14672,14672,2023-06-20 12:36:30
14672,19066,2023-06-20 14:52:59
14795,18935,2023-06-20 13:16:37
14795,18932,2023-06-20 13:20:02
14795,18933,2023-06-20 13:20:16
14804,18945,2023-06-20 13:23:36
14804,18945,2023-06-20 13:23:38
14804,18945,2023-06-20 13:23:40
14804,18945,2023-06-20 13:23:41
14804,18945,2023-06-20 13:24:00
14804,18946,2023-06-20 13:24:49
14804,18945,2023-06-20 13:27:10
14804,18984,2023-06-20 14:04:00
14804,18984,2023-06-20 14:06:03
14884,19236,2023-06-20 15:55:11
14771,17444,2023-06-19 15:01:47
14738,19308,2023-06-20 16:23:37
14738,19308,2023-06-20 16:24:10
14738,14738,2023-06-20 16:37:38
14651,19216,2023-06-20 15:46:07
14689,14689,2023-06-19 14:39:10
14766,18766,2023-06-20 11:04:07
14768,18119,2023-06-19 22:42:40
14768,18119,2023-06-19 22:42:52
14768,18122,2023-06-19 22:43:08
14768,18122,2023-06-19 22:43:10
14768,18119,2023-06-19 22:43:55
14768,18119,2023-06-19 22:46:16
14768,18119,2023-06-19 22:47:01
14768,18120,2023-06-19 22:47:35
14768,18121,2023-06-19 22:48:01
14768,18582,2023-06-20 08:30:19
14768,18585,2023-06-20 08:33:28
14768,18583,2023-06-20 08:34:35
14768,18582,2023-06-20 08:34:54
14768,18584,2023-06-20 08:35:38
14768,18582,2023-06-20 08:36:14
14768,18583,2023-06-20 08:37:22
14768,18610,2023-06-20 09:05:26
14768,19145,2023-06-20 15:18:07
14768,19145,2023-06-20 15:40:41
14768,19146,2023-06-20 15:44:05
14768,19715,2023-06-20 18:43:12
14768,19716,2023-06-20 18:45:12
20738,20758,2023-07-11 14:12:22
20769,20769,2023-07-11 14:49:53
